tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt6119496,tvSpecial,WWE Hell in a Cell,WWE Hell in a Cell,0,2016,\N,195,Sport,6.5,318
tt6120654,tvSpecial,Exploring Psychic Powers Live,Exploring Psychic Powers Live,0,1989,\N,92,Reality-TV,8.3,22
tt6122100,tvSpecial,The Berlin Concert,The Berlin Concert,0,2006,\N,110,Music,8.0,12
tt6125518,tvSpecial,2016 Vice Presidential Debate,2016 Vice Presidential Debate,0,2016,\N,\N,News,3.5,11
tt6132566,tvSpecial,All-Star Halloween Spectacular,All-Star Halloween Spectacular,0,2016,\N,60,Reality-TV,7.0,16
tt6136290,tvSpecial,UFC Fight Night: Mousasi vs. Hall 2,UFC Fight Night: Mousasi vs. Hall 2,0,2016,\N,\N,Sport,6.8,15
tt6136300,tvSpecial,UFC Fight Night: dos Anjos vs. Ferguson,UFC Fight Night: dos Anjos vs. Ferguson,0,2016,\N,\N,Sport,6.8,18
tt6136380,tvSpecial,UFC Fight Night: Bader vs. Nogueira 2,UFC Fight Night: Bader vs. Nogueira 2,0,2016,\N,\N,Sport,6.9,14
tt6136410,tvSpecial,UFC Fight Night: Whittaker vs. Brunson,UFC Fight Night: Whittaker vs. Brunson,0,2016,\N,\N,Sport,7.3,18
tt6140294,tvSpecial,The Nasty Show Hosted by Artie Lange,The Nasty Show Hosted by Artie Lange,0,2015,\N,74,Comedy,5.5,42
tt6141048,tvSpecial,Kurt Braunohler: Trust Me,Kurt Braunohler: Trust Me,0,2017,\N,60,Comedy,6.9,286
tt6141220,tvSpecial,Gustavo Goulart: It Drives Me Crazy!,Gustavo Goulart: Isso me atormenta!,0,2010,\N,69,Comedy,9.6,98
tt6153586,tvSpecial,Guido Weijers: V,Guido Weijers: V,0,2016,\N,108,"Comedy,Documentary",7.0,45
tt6155244,tvSpecial,Bert Gabriëls: Gestorven onzin,Bert Gabriëls: Gestorven onzin,0,2009,\N,50,Comedy,7.0,7
tt6156174,tvSpecial,Dean Martin's Christmas in California,Dean Martin's Christmas in California,0,1977,\N,\N,Music,6.0,10
tt6156248,tvSpecial,The Dean Martin Christmas Special,The Dean Martin Christmas Special,0,1980,\N,50,Music,9.3,14
tt6156476,tvSpecial,Jeff Ross Roasts Cops,Jeff Ross Roasts Cops,0,2016,\N,50,Comedy,7.1,519
tt6165902,tvSpecial,Joey Diaz: Sociably Unacceptable,Joey Diaz: Sociably Unacceptable,0,2016,\N,57,Comedy,6.4,339
tt6166302,tvSpecial,Brigitte Kaandorp: Grande de luxe extra plus,Brigitte Kaandorp: Grande de luxe extra plus,0,2016,\N,\N,"Comedy,Documentary",6.9,15
