tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt34221239,movie,Mitti Naseeb Di,Mitti Naseeb Di,0,2024,\N,77,Drama,10.0,6
tt28789152,movie,My Father,My Father,0,2023,\N,80,Documentary,10.0,11
tt32198949,movie,Noble Vision,Noble Vision,0,2024,\N,\N,Drama,10.0,9
tt29034068,movie,"Northern Nights, Starry Skies","Northern Nights, Starry Skies",0,2023,\N,57,Documentary,10.0,6
tt13509592,movie,Nuriya: Tanita,Nuriya: Tanita,0,2012,\N,5,Music,10.0,8
tt13482606,movie,Olu Bliss: Dive In,Olu Bliss: Dive In,0,2018,\N,8,Music,10.0,9
tt13514554,movie,Open Ocean: Running Wild,Open Ocean: Running Wild,0,2012,\N,2,Music,10.0,9
tt32793266,movie,Ormachithram,Ormachithram,0,2024,\N,124,\N,10.0,12
tt7989204,movie,P Rell: Crucifix,P Rell: Crucifix,0,2013,\N,5,Music,10.0,11
tt33368607,movie,Piri Reis: The Incredible Chart,Piri Reis: The Incredible Chart,0,2024,\N,138,"Action,Adventure,History",10.0,7
tt9080346,movie,Poets Are the Destroyers,Poets Are the Destroyers,0,2021,\N,\N,Drama,10.0,7
tt27004903,movie,Pride,Pride,0,2024,\N,125,"Drama,Mystery,Thriller",10.0,5
tt21065098,movie,Prince Oak Oakleyski Starring Supremacy,Prince Oak Oakleyski Starring Supremacy,0,2023,\N,60,\N,10.0,32
tt11354970,movie,Rainy in Glenageary,Rainy in Glenageary,0,2019,\N,95,Drama,10.0,10
tt22175036,movie,Relentless Ride,Relentless Ride,0,2023,\N,106,Documentary,10.0,12
tt27787044,movie,Right Here Right Now,Right Here Right Now,0,2024,\N,\N,Documentary,10.0,11
tt21403948,movie,Rijali,Rijali,0,2020,\N,56,Drama,10.0,7
tt14063190,movie,Serpentine Pink,Serpentine Pink,0,2022,\N,\N,"Comedy,Drama,Thriller",10.0,14
tt14531810,movie,Shahname Ferdowsi,Shahname Ferdowsi,0,2021,\N,54,Documentary,10.0,6
tt7776640,movie,Shiseido: Ibuki,Shiseido: Ibuki,0,2013,\N,\N,Biography,10.0,11
tt12542334,movie,Shree Atharvana Prathyangira,Shree Atharvana Prathyangira,0,2019,\N,122,Drama,10.0,5
tt33145227,movie,Sins of Ireland,Sins of Ireland,0,2024,\N,\N,Documentary,10.0,8
tt6335682,movie,Sistas Conversation,Sistas Conversation,0,2020,\N,64,Documentary,10.0,9
tt29259789,movie,Sisters & The Shrink 4,Sisters & The Shrink 4,0,2023,\N,\N,Drama,10.0,10
tt30827474,movie,Sisters and the Shrink 5,Sisters and the Shrink 5,0,2023,\N,53,Drama,10.0,6
tt8036286,movie,Sons of St. Clair,Sons of St. Clair,0,2018,\N,\N,"Music,Reality-TV",10.0,9
tt32367709,movie,Standing our ground,Standing our ground,0,2024,\N,\N,Documentary,10.0,8
tt34571787,movie,Sun Tzu's Dream,Sun Tzu's Dream,0,2024,\N,\N,Documentary,10.0,73
tt14317084,movie,Superpower: Ignite Your Intuitive Intelligence,Superpower: Ignite Your Intuitive Intelligence,0,2021,\N,\N,Documentary,10.0,6
tt26917062,movie,Swapnaloka,Swapnaloka,0,2023,\N,100,Drama,10.0,13
tt29921322,movie,Tell Me More About Evil,Tell Me More About Evil,0,2014,\N,49,Music,10.0,13
tt13484152,movie,Tetonica Castro: Home,Tetonica Castro: Home,0,2011,\N,3,Music,10.0,9
tt3823306,movie,The Act of Writing,The Act of Writing,0,2015,\N,\N,Documentary,10.0,12
tt33510921,movie,The Beast of the Bales,The Beast of the Bales,0,2024,\N,101,Documentary,10.0,7
tt16758460,movie,The Bouncer,The Bouncer,0,2024,\N,\N,Action,10.0,5
tt13145694,movie,The Church: Pillar and Ground of the Truth,The Church: Pillar and Ground of the Truth,0,2020,\N,\N,Documentary,10.0,7
tt13156768,movie,The Confessors,The Confessors,0,2020,\N,\N,Documentary,10.0,9
tt12803632,movie,The Dancin' Bulldogs,The Dancin' Bulldogs,0,2020,\N,80,Documentary,10.0,15
